,address,city,province,std_unit_number,std_street_number,std_street_name,std_city,std_province,std_postal_code,std_full_address
0,463 Conservatory Dr,Kingston,Ontario,,463,Conservatory Dr,Kingston,ON,K7M 9C8,"463, Conservatory Dr, Kingston, ON, K7M 9C8"
1,463 Conservatory Drive ,Kingston ,Ontario,,463,Conservatory Dr,Kingston,ON,K7M 9C8,"463, Conservatory Dr, Kingston, ON, K7M 9C8"
2,311 Janette St,Kingston,Ontario,,311,Janette St,Kingston,ON,K7P 0K8,"311, Janette St, Kingston, ON, K7P 0K8"
3,311 Janette Street ,Kingston ,Ontario,,311,Janette St,Kingston,ON,K7P 0K8,"311, Janette St, Kingston, ON, K7P 0K8"
4,4056 Bath Rd,Kingston,Ontario,,4056,Bath Rd,Kingston,ON,K7M 4Y4,"4056, Bath Rd, Kingston, ON, K7M 4Y4"
5,786 HIGH GATE PARK Dr,Kingston,Ontario,,786,HIGH GATE PARK Dr,Kingston,ON,K7M 5Z8,"786, HIGH GATE PARK Dr, Kingston, ON, K7M 5Z8"
6,786 HIGH GATE PARK Drive ,Kingston ,Ontario,,786,HIGH GATE PARK Dr,Kingston,ON,K7M 5Z8,"786, HIGH GATE PARK Dr, Kingston, ON, K7M 5Z8"
7,784 Downing St,Kingston,Ontario,,784,Downing St,Kingston,ON,K7M 5N2,"784, Downing St, Kingston, ON, K7M 5N2"
8,784 Downing Street ,Kingston ,Ontario,,784,Downing St,Kingston,ON,K7M 5N2,"784, Downing St, Kingston, ON, K7M 5N2"
9,593 Roosevelt Dr,Kingston,Ontario,,593,Roosevelt Dr,Kingston,ON,K7M 8T7,"593, Roosevelt Dr, Kingston, ON, K7M 8T7"
10,593 Roosevelt Drive ,Kingston ,Ontario,,593,Roosevelt Dr,Kingston,ON,K7M 8T7,"593, Roosevelt Dr, Kingston, ON, K7M 8T7"
11,657 Gwen Ave,Kingston,Ontario,,657,Gwen Ave,Kingston,ON,K7P 0M2,"657, Gwen Ave, Kingston, ON, K7P 0M2"
12,657 Gwen Avenue ,Kingston ,Ontario,,657,Gwen Ave,Kingston,ON,K7P 0M2,"657, Gwen Ave, Kingston, ON, K7P 0M2"
13,1341 TREMONT Dr,Kingston,Ontario,,1341,TREMONT Dr,Kingston,ON,K7P 0M5,"1341, TREMONT Dr, Kingston, ON, K7P 0M5"
14,Unit 402 - 649 DAVIS Dr,Kingston,Ontario,402,649,DAVIS Dr,Kingston,ON,L9P 1R2,"Unit 402, 649, DAVIS Dr, Kingston, ON, L9P 1R2"
15,1341 TREMONT Drive ,Kingston ,Ontario,,1341,TREMONT Dr,Kingston,ON,K7P 0M5,"1341, TREMONT Dr, Kingston, ON, K7P 0M5"
16,Unit 402 - 649 DAVIS Drive ,Kingston ,Ontario,402,649,DAVIS Dr,Kingston,ON,K7M 8L4,"Unit 402, 649, DAVIS Dr, Kingston, ON, K7M 8L4"
17,1028 Bauder Cres,Kingston ,Ontario,,1028,Bauder Cres,Kingston,ON,K7P 1M6,"1028, Bauder Cres, Kingston, ON, K7P 1M6"
18,1040 Earnhart St,Kingston,Ontario,,1040,Earnhart St,Kingston,ON,K7P 3B9,"1040, Earnhart St, Kingston, ON, K7P 3B9"
19,1028 Bauder Crescent ,Kingston ,Ontario,,1028,Bauder Cres,Kingston,ON,K7P 1M6,"1028, Bauder Cres, Kingston, ON, K7P 1M6"
20,1040 Earnhart Street ,Kingston ,Ontario,,1040,Earnhart St,Kingston,ON,K7P 3B9,"1040, Earnhart St, Kingston, ON, K7P 3B9"
21,994 WESTMINSTER Place ,Kingston ,Ontario,,994,WESTMINSTER Pl,Kingston,ON,K7P 1R1,"994, WESTMINSTER Pl, Kingston, ON, K7P 1R1"
22,2138 Balantrae Circ,Kingston,Ontario,,2138,Balantrae Circ,Kingston,ON,K7M 9H8,"2138, Balantrae Circ, Kingston, ON, K7M 9H8"
23,2138 Balantrae Circle ,Kingston ,Ontario,,2138,Balantrae Cir,Kingston,ON,K7M 9H8,"2138, Balantrae Cir, Kingston, ON, K7M 9H8"
24,692 Truedell Rd,Kingston,Ontario,,692,Truedell Rd,Kingston,ON,K7M 6T2,"692, Truedell Rd, Kingston, ON, K7M 6T2"
25,692 Truedell Road ,Kingston ,Ontario,,692,Truedell Rd,Kingston,ON,K7M 6T2,"692, Truedell Rd, Kingston, ON, K7M 6T2"
26,728 Sussex Blvd,Kingston,Ontario,,728,Sussex Blvd,Kingston,ON,K7M 5B1,"728, Sussex Blvd, Kingston, ON, K7M 5B1"
27,728 Sussex Boulevard ,Kingston ,Ontario,,728,Sussex Blvd,Kingston,ON,K7M 5B1,"728, Sussex Blvd, Kingston, ON, K7M 5B1"
28,Unit 51 - 808 Datzell Lane,Kingston ,Ontario,51,808,Datzell Ln,Kingston,ON,K7M 7R6,"Unit 51, 808, Datzell Ln, Kingston, ON, K7M 7R6"
29,1126 Dunham St,Kingston,Ontario,,1126,Dunham St,Kingston,ON,K7P 2L4,"1126, Dunham St, Kingston, ON, K7P 2L4"
30,983 Westminster Place ,Kingston ,Ontario,,983,Westminster Pl,Kingston,ON,K7P 1R1,"983, Westminster Pl, Kingston, ON, K7P 1R1"
31,1126 Dunham Street ,Kingston ,Ontario,,1126,Dunham St,Kingston,ON,K7P 2L4,"1126, Dunham St, Kingston, ON, K7P 2L4"
32,4061 BATH Rd ,Kingston ,Ontario,,4061,BATH Rd,Kingston,ON,K7M 4Y6,"4061, BATH Rd, Kingston, ON, K7M 4Y6"
33,4061 BATH Road ,Kingston ,Ontario,,4061,BATH Rd,Kingston,ON,K7M 4Y6,"4061, BATH Rd, Kingston, ON, K7M 4Y6"
34,661 Roosevelt Dr,Kingston,Ontario,,661,Roosevelt Dr,Kingston,ON,K7M 8T8,"661, Roosevelt Dr, Kingston, ON, K7M 8T8"
35,657 Barnsley Cres,Kingston,Ontario,,657,Barnsley Cres,Kingston,ON,K7M 8X4,"657, Barnsley Cres, Kingston, ON, K7M 8X4"
36,418 Conservatory Dr,Kingston,Ontario,,418,Conservatory Dr,Kingston,ON,K7M 9C7,"418, Conservatory Dr, Kingston, ON, K7M 9C7"
37,661 Roosevelt Drive ,Kingston ,Ontario,,661,Roosevelt Dr,Kingston,ON,K7M 8T8,"661, Roosevelt Dr, Kingston, ON, K7M 8T8"
38,657 Barnsley Crescent ,Kingston ,Ontario,,657,Barnsley Cres,Kingston,ON,K7M 8X4,"657, Barnsley Cres, Kingston, ON, K7M 8X4"
39,418 Conservatory Drive ,Kingston ,Ontario,,418,Conservatory Dr,Kingston,ON,K7M 9C7,"418, Conservatory Dr, Kingston, ON, K7M 9C7"
