id,bedrooms,gla,room_count,full_baths,half_baths,main_level_finished_area,upper_lvl_fin_area,bg_fin_area,year_built,close_price,latitude,longitude,std_unit_number,std_street_number,std_street_name,std_city,std_province,std_postal_code,std_full_address,subject_address
97650,2,1519.0,9,2,2,604.0,914.0,,2024,780000.0,51.0306,-114.113,1,2220,26 Avenue Sw,Calgary,AB,T2T1E8,"2220 26 Avenue Sw, Unit 1, Calgary, AB, T2T1E8","1633 27 Ave Sw, Calgary, AB, T2T1G7"
258935,2,1204.0,7,2,1,588.0,615.0,,2015,367500.0,51.2698,-113.972,1514,2400,Ravenswood View Se,Airdrie,AB,T4A0V7,"2400 Ravenswood View Se, Unit 1514, Airdrie, AB, T4A0V7","160 Marquis Pl Se, Airdrie, AB, T4A1Y7"
262388,2,1485.0,6,2,1,516.0,968.0,,2006,418000.0,51.0364,-114.102,2,2101,17 Street Sw,Calgary,AB,T2T4M5,"2101 17 Street Sw, Unit 2, Calgary, AB, T2T4M5","1633 27 Ave Sw, Calgary, AB, T2T1G7"
12333,3,1337.0,8,1,1,618.0,719.0,,2006,385000.0,51.2712,-113.994,102,800,Yankee Valley Boulevard Se,Airdrie,AB,T4A2L3,"800 Yankee Valley Boulevard Se, Unit 102, Airdrie, AB, T4A2L3","160 Marquis Pl Se, Airdrie, AB, T4A1Y7"
206080,2,1044.0,5,2,1,772.0,271.0,,2007,473500.0,51.0575,-114.137,307,118,34 Street Nw,Calgary,AB,T2N2X5,"118 34 Street Nw, Unit 307, Calgary, AB, T2N2X5","504 37 St Nw,, Calgary,, AB, T2N3B8"
78456,2,1587.0,13,2,1,831.0,756.0,,1990,530000.0,51.0608,-114.168,13,5810,Patina Drive Sw,Calgary,AB,T3H2Y6,"5810 Patina Drive Sw, Unit 13, Calgary, AB, T3H2Y6","504 37 St Nw,, Calgary,, AB, T2N3B8"
93216,3,1278.0,10,1,1,698.0,578.0,,1979,580000.0,51.0613,-114.146,2,140,Point Drive Nw,Calgary,AB,T3B4W3,"140 Point Drive Nw, Unit 2, Calgary, AB, T3B4W3","504 37 St Nw,, Calgary,, AB, T2N3B8"
88684,2,860.0,5,1,1,415.0,444.0,,2015,317000.0,51.0675,-114.083,102,1740,9 Street Nw,Calgary,AB,T2M4Z5,"1740 9 Street Nw, Unit 102, Calgary, AB, T2M4Z5","730 2 Ave Sw, Unit 1606, Calgary, AB, T2P1R8"
98429,2,1654.0,6,2,1,664.0,989.0,,2013,707000.0,51.0547,-114.114,1,2314,2 Avenue Nw,Calgary,AB,T2N0H2,"2314 2 Avenue Nw, Unit 1, Calgary, AB, T2N0H2","504 37 St Nw,, Calgary,, AB, T2N3B8"
66377,2,1343.0,5,2,1,638.0,704.0,,2024,595000.0,51.0707,-114.159,2,4532,17 Avenue Nw,Calgary,AB,T3B0P1,"4532 17 Avenue Nw, Unit 2, Calgary, AB, T3B0P1","504 37 St Nw,, Calgary,, AB, T2N3B8"
267010,2,1116.0,7,1,1,554.0,561.0,,1973,430000.0,51.0224,-114.109,3,2044,35 Avenue Sw,Calgary,AB,T2T2E1,"2044 35 Avenue Sw, Unit 3, Calgary, AB, T2T2E1","1633 27 Ave Sw, Calgary, AB, T2T1G7"
267056,2,1417.0,7,2,1,596.0,822.0,,2016,616000.0,51.0299,-114.102,201,2717,17 Street Sw,Calgary,AB,T2T4N4,"2717 17 Street Sw, Unit 201, Calgary, AB, T2T4N4","1633 27 Ave Sw, Calgary, AB, T2T1G7"
94802,2,1274.0,7,2,1,901.0,372.0,,2003,392500.0,51.0593,-114.086,201,824,10 Street Nw,Calgary,AB,T2N1W4,"824 10 Street Nw, Unit 201, Calgary, AB, T2N1W4","730 2 Ave Sw, Unit 1606, Calgary, AB, T2P1R8"
96810,4,2002.0,14,4,1,704.0,1297.0,,2025,1310000.0,51.053,-114.089,1,211,11 Street Nw,Calgary,AB,T2N1X2,"211 11 Street Nw, Unit 1, Calgary, AB, T2N1X2","730 2 Ave Sw, Unit 1606, Calgary, AB, T2P1R8"
267288,3,1418.0,10,2,1,655.0,762.0,,2023,651683.0,50.8947,-113.934,213,595,Mahogany Road Se,Calgary,AB,T3M3Y3,"595 Mahogany Road Se, Unit 213, Calgary, AB, T3M3Y3","58 Copperleaf Terr Se, Calgary, AB, T2Z0H9"
34011,2,1301.0,10,2,1,645.0,654.0,,2007,465000.0,51.0429,-114.136,102,99,Spruce Place Sw,Calgary,AB,T3C3X7,"99 Spruce Place Sw, Unit 102, Calgary, AB, T3C3X7","504 37 St Nw,, Calgary,, AB, T2N3B8"
288881,1,848.0,3,1,1,577.0,271.0,,1999,317500.0,51.0293,-114.095,108,1505,27 Avenue Sw,Calgary,AB,T2T1G5,"1505 27 Avenue Sw, Unit 108, Calgary, AB, T2T1G5","1633 27 Ave Sw, Calgary, AB, T2T1G7"
78780,1,1107.0,11,1,1,595.0,512.0,,2001,575000.0,51.0382,-114.034,303,1212,13 Street Se,Calgary,AB,T2G5R3,"1212 13 Street Se, Unit 303, Calgary, AB, T2G5R3","530 3 St Se, Unit 2306, Calgary, AB, T2G2L8"
258930,2,1048.0,9,1,2,443.0,604.0,,1987,385000.0,51.0576,-114.166,10,220,Village Terrace Sw,Calgary,AB,T3H2L3,"220 Village Terrace Sw, Unit 10, Calgary, AB, T3H2L3","504 37 St Nw,, Calgary,, AB, T2N3B8"
268711,3,1746.0,8,2,1,609.0,1136.0,,2005,569000.0,51.0229,-114.102,12,1729,34 Avenue Sw,Calgary,AB,T2T2B7,"1729 34 Avenue Sw, Unit 12, Calgary, AB, T2T2B7","1633 27 Ave Sw, Calgary, AB, T2T1G7"
78431,1,1212.0,5,1,1,822.0,390.0,,1912,568250.0,51.0419,-114.066,204,1117,1 Street Sw,Calgary,AB,T2R0T9,"1117 1 Street Sw, Unit 204, Calgary, AB, T2R0T9","730 2 Ave Sw, Unit 1606, Calgary, AB, T2P1R8"
284270,3,1134.0,10,1,1,562.0,572.0,,1979,325000.0,51.1278,-114.075,77,115,Bergen Road Nw,Calgary,AB,T3K1P2,"115 Bergen Road Nw, Unit 77, Calgary, AB, T3K1P2","184 Sandpiper Cir Nw, Calgary, AB, T3K3P4"
10139,2,2402.0,12,2,1,1252.0,1149.0,,2019,1525000.0,51.0527,-114.077,103,738,1 Avenue Sw,Calgary,AB,T2P5G8,"738 1 Avenue Sw, Unit 103, Calgary, AB, T2P5G8","530 3 St Se, Unit 2306, Calgary, AB, T2G2L8"
207594,2,1720.0,8,2,1,691.0,1028.0,,2003,690000.0,51.0187,-114.11,18,11,Scarpe Drive Sw,Calgary,AB,T2T6K6,"11 Scarpe Drive Sw, Unit 18, Calgary, AB, T2T6K6","1633 27 Ave Sw, Calgary, AB, T2T1G7"
290305,3,1257.0,11,2,1,613.0,644.0,,2004,610000.0,51.0593,-114.137,2,529,34 Street Nw,Calgary,AB,T2N2X8,"529 34 Street Nw, Unit 2, Calgary, AB, T2N2X8","504 37 St Nw,, Calgary,, AB, T2N3B8"
12172,2,1114.0,6,1,1,170.0,944.0,,1975,440000.0,51.0556,-114.05,1,643,4 Avenue Ne,Calgary,AB,T2E0J9,"643 4 Avenue Ne, Unit 1, Calgary, AB, T2E0J9","824 9A St Ne, Calgary, AB, T2E4L6"
